LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Proba,Score
8400,85136.0,125912.0,HomeImp,Other,9.0,,,,,,40.715178041,0.06982549930194766,552.3
33700,73877.0,124834.0,DebtCon,Mgr,10.0,0.0,0.0,68.482694591,0.0,34.0,25.960455093,0.04835267338876403,566.37
11300,62568.0,79009.0,HomeImp,Office,4.0,0.0,3.0,295.33466966,0.0,19.0,28.600252229,0.2433133494154887,499.83
17200,94937.0,133859.0,DebtCon,Mgr,6.0,,,248.15887558,2.0,42.0,36.790875327,0.04893233260808309,565.92
10800,80203.0,98731.0,DebtCon,Other,4.0,0.0,0.0,113.42514573,2.0,31.0,41.474073805,0.056624993446048155,560.36
3700,17857.0,21144.0,HomeImp,Other,5.0,0.0,0.0,129.71732313,1.0,9.0,26.634347518,0.4074311793551639,472.41
14800,16448.0,38774.0,DebtCon,Office,7.0,0.0,0.0,91.005539849,0.0,16.0,19.240351261,0.057068822438462605,560.06
15000,,48800.0,DebtCon,Office,2.0,0.0,0.0,86.266666667,2.0,9.0,,0.11549305947531616,532.33
6600,68733.0,81973.0,HomeImp,Other,5.0,0.0,0.0,96.977667199,0.0,14.0,42.211046784,0.0763029583068067,548.84
31500,10879.0,58089.0,DebtCon,Other,0.0,0.0,0.0,94.248035718,0.0,5.0,38.662402273,0.08787564046318598,543.3
10600,22000.0,35200.0,DebtCon,Mgr,13.0,0.0,0.0,90.333333333,5.0,14.0,,0.535569935446912,453.76
12100,12000.0,33938.0,DebtCon,Mgr,9.0,0.0,0.0,118.76666667,0.0,11.0,,0.06456656451805796,555.32
27600,74964.0,118507.0,DebtCon,Other,5.0,0.0,0.0,91.711246204,1.0,32.0,39.146755766,0.04846069890689973,566.29
26600,148986.0,175750.0,DebtCon,Other,1.0,0.0,0.0,197.39171326,0.0,35.0,40.514989578,0.04867654478113988,566.12
18800,96272.0,163250.0,DebtCon,Mgr,2.0,0.0,0.0,204.49258593,1.0,19.0,37.868355391,0.03202070506149829,581.85
25700,23047.0,76575.0,DebtCon,Other,,2.0,1.0,104.5662029,2.0,26.0,29.296633491,0.05869910618511841,558.98
10600,39061.0,50225.0,DebtCon,Other,15.0,0.0,0.0,77.114285108,0.0,12.0,32.587465652,0.08261955621878257,545.73
14500,38986.0,49970.0,HomeImp,Other,1.0,8.0,1.0,220.91726199,0.0,17.0,47.914521113,0.7448820741505517,420.26
8800,108608.0,,DebtCon,Mgr,0.0,0.0,6.0,253.47175859,4.0,23.0,,0.7987264728762961,409.19
10800,61767.0,72668.0,DebtCon,ProfExe,15.0,0.0,0.0,228.98545319,3.0,32.0,37.91433471,0.04511315128542703,569.0
22000,48000.0,80990.0,DebtCon,Mgr,6.0,0.0,0.0,262.73333333,2.0,26.0,,0.03030847745946447,583.9
7300,49064.0,64225.0,DebtCon,Mgr,6.0,,4.0,106.37599933,1.0,10.0,40.051915231,0.1998469444764669,508.94
19800,69174.0,95154.0,HomeImp,ProfExe,6.0,0.0,0.0,59.459256192,0.0,16.0,31.254821634,0.11482990133758371,532.57
17200,52276.0,69860.0,DebtCon,Office,0.0,0.0,0.0,180.93148775,0.0,25.0,30.587966984,0.026820617518028028,588.44
14000,64000.0,78000.0,,ProfExe,7.4,0.0,0.0,174.43333333,0.0,20.0,,0.6553525091307345,435.72
25700,197425.0,242602.0,DebtCon,Other,8.0,0.0,0.0,102.96034553,2.0,26.0,41.277127172,0.087854442516489,543.31
16000,98338.0,115759.0,DebtCon,Other,8.0,0.0,0.0,296.07626178,1.0,19.0,30.062735712,0.029961007742021147,584.33
27700,77886.0,114494.0,DebtCon,ProfExe,9.0,0.0,0.0,118.47135379,0.0,18.0,28.344078391,0.0435676536675564,570.31
12000,42482.0,67800.0,DebtCon,ProfExe,19.0,0.0,0.0,199.9,0.0,16.0,,0.030711662784948038,583.41
12600,103946.0,113900.0,DebtCon,Other,17.0,0.0,2.0,194.35993932,1.0,16.0,36.414572822,0.22143482652478913,504.25
25000,59841.0,108620.0,,Self,20.0,0.0,0.0,101.46666667,0.0,4.0,,0.6600600677891247,434.97
24500,52000.0,84915.0,DebtCon,Office,0.4,0.0,1.0,93.166666667,0.0,23.0,,0.07458620063633858,549.73
12300,73099.0,84250.0,DebtCon,ProfExe,4.0,,,,,,40.222283144,0.06154691757448774,557.17
20500,52031.0,64975.0,,Other,2.5,1.0,3.0,105.53333333,2.0,33.0,,0.6739315860816097,432.72
10200,84196.0,91642.0,DebtCon,Other,1.0,0.0,0.0,104.83507193,1.0,32.0,38.376112633,0.061322556466464645,557.31
8400,53841.0,64284.0,DebtCon,Other,15.0,0.0,3.0,206.35456436,0.0,36.0,26.054853712,0.09067436605601552,542.05
28100,96160.0,128767.0,DebtCon,Office,10.0,0.0,1.0,154.67285803,0.0,29.0,41.117944577,0.07263153171971268,550.77
13400,98701.0,129679.0,HomeImp,ProfExe,10.0,0.0,0.0,179.127926,2.0,32.0,29.549283511,0.032598781677756226,581.18
23400,64332.0,95770.0,HomeImp,Office,13.0,0.0,0.0,128.23922251,0.0,13.0,35.157645613,0.04511598801627536,568.99
16400,102103.0,133626.0,DebtCon,ProfExe,5.0,0.0,0.0,95.366348366,0.0,14.0,31.275182524,0.04891110230247863,565.94
26100,75164.0,108483.0,DebtCon,Mgr,7.0,0.0,0.0,300.83595806,2.0,28.0,30.071402046,0.03102241772198075,583.03
14900,56506.0,81390.0,HomeImp,ProfExe,12.0,0.0,2.0,170.76666667,0.0,14.0,,0.11189444821919907,533.62
18500,90150.0,122767.0,DebtCon,ProfExe,12.0,,,135.57297776,,25.0,33.46387238,0.041883043108343655,571.8
22500,60700.0,91000.0,DebtCon,Self,13.0,0.0,0.0,145.06666667,6.0,29.0,,0.6732460859399475,432.83
13700,86161.0,106737.0,HomeImp,Other,22.0,0.0,0.0,135.33270363,4.0,23.0,29.409524029,0.060122893858125484,558.07
15400,50402.0,65561.0,DebtCon,Mgr,25.0,0.0,0.0,282.62290524,0.0,16.0,38.097902468,0.029949398139684794,584.34
30500,57516.0,103086.0,DebtCon,Office,3.0,0.0,0.0,166.19952717,2.0,24.0,37.814089094,0.04510225388059753,569.01
52000,,85298.0,HomeImp,Self,10.0,0.0,0.0,178.57848226,1.0,21.0,25.513965638,0.045991005372571205,568.27
50000,202601.0,288000.0,DebtCon,ProfExe,3.0,1.0,1.0,160.66666667,2.0,30.0,,0.7198195313631977,424.87
44400,100564.0,154708.0,DebtCon,Other,14.0,,0.0,253.91411096,3.0,30.0,43.902152357,0.04411848052561889,569.84
5300,51000.0,64000.0,HomeImp,Mgr,10.0,1.0,0.0,98.333333333,0.0,12.0,,0.6436428577403788,437.58
16500,74263.0,98922.0,DebtCon,Office,0.0,0.0,0.0,139.83124654,3.0,20.0,31.814429354,0.0430008555009632,570.81
25900,59575.0,85837.0,DebtCon,Other,22.0,0.0,1.0,189.75535052,0.0,19.0,24.874615108,0.05745004521722405,559.81
8400,57694.0,70782.0,HomeImp,Other,4.0,0.0,0.0,125.71032467,0.0,34.0,37.622785545,0.06409954468108393,555.6
13600,67354.0,81255.0,DebtCon,Office,10.0,0.0,0.0,255.37875694,4.0,36.0,41.625398584,0.035871211444914036,577.61
21900,91767.0,141897.0,DebtCon,ProfExe,,0.0,0.0,207.65328952,0.0,21.0,28.216739433,0.028794005318148064,585.8
21400,75563.0,96159.0,DebtCon,Other,,1.0,0.0,248.64649535,2.0,13.0,42.176585064,0.03003703356032616,584.23
12700,53199.0,82567.0,HomeImp,Other,3.0,0.0,1.0,185.32503543,0.0,13.0,27.390380405,0.05673229974466369,560.29
26000,154000.0,190000.0,,Other,0.0,0.0,4.0,171.43333333,3.0,58.0,,0.7029063879781371,427.84
30000,109583.0,153132.0,DebtCon,ProfExe,10.0,0.0,0.0,162.3840072,1.0,16.0,33.760305236,0.043031895911809774,570.78
35600,20552.0,46697.0,DebtCon,Mgr,7.0,0.0,0.0,45.14448683,0.0,6.0,36.062827417,0.10351131659729505,536.77
81200,18834.0,108355.0,HomeImp,,28.0,0.0,0.0,139.136329,0.0,14.0,34.042153174,0.04370934629092352,570.19
17300,110614.0,137552.0,DebtCon,ProfExe,6.0,0.0,0.0,85.232500724,0.0,13.0,31.344365522,0.04833359267380983,566.39
14900,22245.0,31531.0,DebtCon,Office,7.0,0.0,0.0,91.074218176,0.0,16.0,21.620580277,0.05767376382488044,559.66
15500,97596.0,119326.0,DebtCon,Office,0.0,,3.0,254.70773261,1.0,30.0,40.987300926,0.15221348891336137,520.84
16900,61847.0,91671.0,DebtCon,ProfExe,9.0,0.0,0.0,202.05343558,0.0,20.0,21.348254512,0.029460371341857902,584.95
24000,144975.0,180539.0,DebtCon,ProfExe,6.0,,,193.1196811,5.0,43.0,39.593595223,0.1328430898692319,526.57
24000,31243.0,50602.0,HomeImp,Self,3.0,1.0,,135.19851865,,11.0,25.357164928,0.10394346651192903,536.6
25500,79689.0,117577.0,DebtCon,ProfExe,9.0,0.0,0.0,114.96849873,0.0,19.0,26.484886371,0.043205706135112064,570.63
17100,,96036.0,DebtCon,Office,27.0,0.0,0.0,327.00179108,0.0,15.0,12.498669801,0.02763427732718733,587.33
17400,25859.0,43684.0,DebtCon,Mgr,16.0,1.0,0.0,95.363068679,1.0,17.0,27.107619574,0.07707112474275857,548.45
12100,58556.0,76724.0,HomeImp,Other,3.0,0.0,1.0,234.65854468,1.0,16.0,37.639252934,0.08674726545404089,543.81
16500,143404.0,165267.0,DebtCon,Mgr,14.0,0.0,1.0,169.7373629,1.0,31.0,36.178122,0.09617879144088447,539.71
17000,,,HomeImp,,1.0,0.0,0.0,111.23501181,0.0,21.0,31.362872385,0.07420538876552024,549.93
13200,28428.0,34477.0,DebtCon,Other,0.0,,,,,,39.370262709,0.10323426058550328,536.87
8400,41656.0,51846.0,HomeImp,Office,10.0,,,190.01750256,,19.0,25.768965033,0.03832790941980506,575.13
16900,17988.0,137328.0,DebtCon,Other,9.0,0.0,0.0,360.14696016,0.0,10.0,41.902054192,0.03256264261526618,581.23
5000,73126.0,87500.0,DebtCon,Other,1.0,0.0,0.0,125.96666667,2.0,10.0,,0.08705770459310726,543.67
38900,120006.0,160771.0,HomeImp,ProfExe,13.0,0.0,0.0,137.6353734,0.0,40.0,46.701585238,0.08525293781875154,544.49
11100,27861.0,47737.0,HomeImp,Other,8.0,0.0,0.0,89.492116658,0.0,4.0,34.050949362,0.13038655813469743,527.34
24000,43948.0,86111.0,HomeImp,Other,24.0,0.0,0.0,258.30359386,0.0,7.0,26.61774876,0.041148218813832835,572.46
22700,,57156.0,DebtCon,Other,,0.0,0.0,289.54567264,0.0,19.0,40.162944538,0.08805667237099149,543.21
19100,51994.0,66467.0,DebtCon,Other,7.0,0.0,0.0,100.18188768,3.0,15.0,41.155082612,0.07060250926711845,551.87
2500,7229.0,44516.0,HomeImp,Self,,0.0,0.0,208.0,0.0,12.0,,0.3036685022972571,488.84
30200,34955.0,79556.0,DebtCon,Other,8.0,,,121.02331335,,23.0,32.804530596,0.0443003620563045,569.68
15900,79660.0,96393.0,DebtCon,Other,4.0,2.0,0.0,84.205779001,1.0,21.0,22.113193096,0.07226697731559882,550.96
15000,82000.0,130000.0,DebtCon,Mgr,18.0,0.0,5.0,122.73333333,10.0,19.0,,0.8717104075793306,389.79
5900,,66903.0,,,,,,,,,32.782926828,0.07352267174313941,550.29
18900,52640.0,113391.0,DebtCon,ProfExe,16.0,0.0,0.0,257.52379662,0.0,19.0,27.792323705,0.02916790625950762,585.32
11300,56651.0,71353.0,HomeImp,Other,29.0,1.0,2.0,176.91298776,1.0,24.0,38.544441857,0.2164445717471743,505.3
20700,41000.0,65000.0,DebtCon,Other,26.0,0.0,0.0,305.26666667,3.0,32.0,,0.055083430888387026,561.42
40600,14534.0,60000.0,DebtCon,Other,20.0,0.0,0.0,206.96666667,1.0,31.0,,0.04215928925679222,571.55
12100,18728.0,34443.0,DebtCon,Mgr,9.0,0.0,0.0,117.64828293,0.0,10.0,21.589836378,0.07676851885356008,548.61
8900,77261.0,96434.0,DebtCon,ProfExe,3.0,0.0,0.0,144.03700388,0.0,26.0,33.908465844,0.05484334767321077,561.58
14300,93989.0,117410.0,DebtCon,Office,10.0,0.0,0.0,220.89922098,0.0,12.0,39.877500773,0.02796370418014775,586.89
5600,53793.0,66379.0,HomeImp,Office,22.0,0.0,0.0,206.09913412,0.0,19.0,18.369540527,0.03044897632777324,583.72
35000,240994.0,39401.0,DebtCon,Mgr,3.0,0.0,1.0,210.50181736,3.0,50.0,42.967511635,0.27221251574165,494.37
26800,138216.0,170052.0,DebtCon,ProfExe,10.0,0.0,0.0,199.73871138,1.0,29.0,76.421478047,0.04392249885024818,570.01
25000,136375.0,236250.0,HomeImp,ProfExe,29.0,0.0,0.0,354.1,1.0,19.0,,0.03303580644520791,580.69
8900,75441.0,116950.0,HomeImp,Office,26.0,0.0,0.0,322.73119571,2.0,37.0,33.788523674,0.037916374210730026,575.54
12100,31400.0,48000.0,DebtCon,Other,6.0,1.0,0.0,107.53333333,2.0,16.0,,0.09880119848614263,538.63
13500,82036.0,104261.0,HomeImp,ProfExe,4.0,0.0,1.0,98.417753249,0.0,33.0,39.294102796,0.09875927013056947,538.65
2900,78600.0,113000.0,DebtCon,ProfExe,6.0,1.0,0.0,165.33333333,2.0,26.0,,0.599534406971908,444.35
20000,9722.0,173518.0,HomeImp,Mgr,21.0,0.0,0.0,89.211954836,2.0,20.0,31.120877405,0.04339868249885183,570.46
14400,75360.0,105737.0,HomeImp,ProfExe,8.0,0.0,0.0,121.298029,1.0,27.0,24.761899592,0.048154640960813226,566.53
15400,48275.0,69427.0,DebtCon,ProfExe,17.0,0.0,0.0,202.54621956,0.0,15.0,23.160040592,0.030931938702193688,583.14
12200,199232.0,229929.0,HomeImp,ProfExe,11.0,0.0,0.0,223.43811683,0.0,21.0,31.370272297,0.03863358104329884,574.83
5900,,33100.0,HomeImp,Other,,0.0,0.0,238.6,1.0,2.0,,0.6665426440460255,433.92
18500,71000.0,95000.0,DebtCon,Mgr,6.0,0.0,0.0,71.0,7.0,24.0,,0.09071232253842838,542.04
12500,79900.0,94660.0,DebtCon,Mgr,19.0,0.0,0.0,252.34969818,10.0,24.0,35.800492028,0.052135900246544645,563.51
6000,47625.0,85925.0,HomeImp,Office,0.1,2.0,1.0,154.13333333,4.0,26.0,,0.5886843398991864,445.97
7500,39600.0,42000.0,DebtCon,Self,1.0,0.0,0.0,47.7,1.0,15.0,,0.6896755020675981,430.1
20100,54098.0,88939.0,,,,,,,,,,0.6467451740516243,437.09
28500,84908.0,108385.0,DebtCon,Office,10.0,0.0,0.0,384.28504689,0.0,45.0,41.342010942,0.06236565565832837,556.66
22500,75010.0,114769.0,DebtCon,Mgr,9.0,0.0,1.0,294.29716609,1.0,28.0,30.611051161,0.07116875966435929,551.56
28400,207687.0,242544.0,HomeImp,Other,8.0,0.0,0.0,134.00768046,0.0,41.0,41.298386628,0.10535668626439727,536.05
10700,73996.0,92766.0,DebtCon,Office,15.0,0.0,1.0,102.14742858,0.0,9.0,25.3840627,0.07696802335527761,548.5
14700,49264.0,68591.0,DebtCon,Other,9.0,0.0,0.0,237.83915914,0.0,18.0,31.25670012,0.030856537043375716,583.23
20600,74828.0,106493.0,HomeImp,Other,5.0,1.0,0.0,204.07440932,1.0,12.0,30.222959942,0.06985553781291115,552.28
14600,6871.0,52457.0,DebtCon,ProfExe,4.0,0.0,0.0,317.24400167,0.0,16.0,17.617908723,0.04820091889686951,566.49
2500,71408.0,78600.0,HomeImp,ProfExe,8.0,0.0,0.0,255.73333333,0.0,12.0,,0.16224230284432328,518.11
2000,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0,122.53333333,1.0,9.0,,0.7829301819200228,412.64
16400,71264.0,94726.0,DebtCon,Other,1.0,0.0,0.0,177.2573424,1.0,31.0,35.034481355,0.04216763435898529,571.54
21200,113648.0,145650.0,DebtCon,Office,11.0,0.0,1.0,231.01924428,0.0,24.0,41.559303671,0.06409173799388874,555.61
9200,70715.0,85000.0,DebtCon,Office,26.0,0.0,0.0,143.06666667,2.0,23.0,,0.655460139575545,435.71
18800,88828.0,116683.0,DebtCon,ProfExe,6.0,0.0,0.0,141.84139798,1.0,20.0,21.679278339,0.04179928997305507,571.87
7500,60192.0,76475.0,DebtCon,ProfExe,8.0,0.0,0.0,60.503625209,2.0,24.0,39.280512379,0.11024840240508857,534.22
14800,86861.0,93341.0,HomeImp,Office,,0.0,0.0,162.02394644,0.0,26.0,42.897162114,0.05168053695704726,563.85
18200,61554.0,94510.0,DebtCon,Office,2.0,0.0,0.0,161.35269333,0.0,24.0,23.896554711,0.04195012627600314,571.74
28400,150784.0,192411.0,HomeImp,Self,0.0,0.0,0.0,173.30549337,1.0,16.0,41.543254137,0.0875316683260691,543.45
38700,,60000.0,DebtCon,Other,0.0,0.0,0.0,235.36666667,1.0,15.0,,0.5565447987724782,450.71
25100,147622.0,187441.0,HomeImp,Self,3.0,0.0,0.0,170.48072082,0.0,16.0,41.52143161,0.0823958122917869,545.83
17300,20798.0,37980.0,,Office,2.0,0.0,0.0,219.30936478,0.0,16.0,37.763211014,0.06452425158151168,555.35
18200,120966.0,208782.0,DebtCon,Other,4.0,0.0,0.0,202.53433338,0.0,17.0,27.436646043,0.03613499503709755,577.34
15700,111367.0,127421.0,DebtCon,,16.0,0.0,0.0,184.23480732,1.0,18.0,41.03530607,0.029406272573749996,585.02
20000,77900.0,105400.0,DebtCon,Mgr,4.0,0.0,0.0,110.6,0.0,17.0,,0.6590857304560659,435.13
25000,110048.0,,DebtCon,Other,1.0,0.0,1.0,126.4,2.0,24.0,,0.5960913764149396,444.87
5900,74187.0,78976.0,HomeImp,Other,9.0,0.0,1.0,118.44249103,0.0,24.0,40.110407425,0.0952951024282306,540.08
20600,16779.0,56481.0,DebtCon,Other,24.0,0.0,1.0,228.05700238,0.0,24.0,27.176647716,0.054603380380755705,561.75
62900,119903.0,201928.0,DebtCon,ProfExe,9.0,0.0,0.0,297.30748082,1.0,25.0,37.636502449,0.0329257419577864,580.81
5600,29648.0,39907.0,HomeImp,ProfExe,11.0,0.0,0.0,180.56306914,0.0,13.0,21.554949656,0.10905176761933212,534.66
15800,25344.0,79736.0,HomeImp,Other,,0.0,0.0,249.9837678,0.0,50.0,42.435562666,0.08751497194731439,543.46
11800,57760.0,65535.0,DebtCon,Mgr,11.0,0.0,0.0,108.46940045,1.0,18.0,32.783483568,0.05335153555926636,562.63
88900,48919.0,93371.0,DebtCon,Other,15.0,0.0,1.0,205.65015947,0.0,15.0,34.818261819,0.07862822648878186,547.67
22100,24000.0,49000.0,DebtCon,Other,14.4,0.0,0.0,109.56666667,2.0,25.0,,0.054353694746924495,561.92
8000,53000.0,65960.0,HomeImp,Other,7.5,0.0,0.0,132.56666667,0.0,17.0,,0.070234557763408,552.07
18500,81938.0,106187.0,DebtCon,ProfExe,2.0,0.0,0.0,282.90060926,1.0,21.0,40.038841103,0.03708183329936847,576.37
26900,113724.0,151969.0,DebtCon,Office,4.0,,,294.89276272,1.0,36.0,42.397248986,0.036553803442787906,576.91
19700,139534.0,172125.0,DebtCon,Other,0.0,0.0,0.0,101.94351853,6.0,17.0,32.761083981,0.1517801596192276,520.96
41100,94600.0,151000.0,DebtCon,Other,15.0,,1.0,220.13333333,4.0,31.0,,0.17275753408442923,515.39
11000,77929.0,102942.0,HomeImp,ProfExe,8.0,0.0,0.0,173.8298837,0.0,34.0,33.897772554,0.04864793609567171,566.14
15300,62094.0,96938.0,,ProfExe,9.0,0.0,0.0,,0.0,15.0,25.407142509,0.05008015788553246,565.04
17600,,96188.0,,Other,,0.0,0.0,181.29504647,0.0,9.0,30.879317294,0.028777432895621877,585.82
10700,85198.0,107044.0,HomeImp,ProfExe,0.0,0.0,0.0,66.758325469,0.0,19.0,36.846466819,0.07971795155898344,547.13
21500,35300.0,78810.0,HomeImp,Other,25.0,0.0,0.0,261.86666667,1.0,7.0,,0.047242817776269826,567.25
14400,32683.0,48467.0,HomeImp,Other,11.0,0.0,0.0,114.41203294,0.0,10.0,21.46972396,0.05762821794887536,559.69
23500,18989.0,51607.0,DebtCon,Other,26.0,0.0,1.0,206.76549496,0.0,24.0,27.551408817,0.0631770668098127,556.16
14900,69723.0,83553.0,DebtCon,Office,5.0,0.0,0.0,114.85553461,1.0,19.0,22.957291799,0.04889882755896549,565.95
36600,397299.0,512650.0,DebtCon,ProfExe,4.0,0.0,0.0,197.51668389,0.0,21.0,43.458327417,0.35012290380399286,481.21
11400,59813.0,72873.0,DebtCon,ProfExe,13.0,0.0,0.0,234.33024049,4.0,31.0,39.351470851,0.0483665998575285,566.36
28400,106020.0,206030.0,DebtCon,Other,22.0,0.0,0.0,188.75246946,0.0,18.0,25.33037232,0.030518440124241767,583.64
23000,42600.0,69500.0,DebtCon,Other,10.0,0.0,0.0,119.7,1.0,20.0,,0.0457953415419314,568.43
15800,,96642.0,DebtCon,Office,26.0,0.0,0.0,335.15468819,0.0,16.0,12.706937983,0.02781278653961575,587.09
12900,19688.0,77998.0,DebtCon,ProfExe,20.0,0.0,2.0,407.26116688,0.0,12.0,22.839078993,0.10462415647807345,536.34
26400,134642.0,182719.0,DebtCon,Mgr,0.0,,,122.45686327,,39.0,32.698800459,0.0562636520679143,560.61
16000,82097.0,100225.0,DebtCon,Other,0.0,0.0,0.0,129.3745132,0.0,22.0,39.827217203,0.042044427120223916,571.65
12000,35028.0,55079.0,HomeImp,Other,23.0,0.0,1.0,108.63396857,0.0,23.0,40.797457548,0.0799563772604595,547.01
22800,,147730.0,,,,,,,,,16.179249586,0.043000461154077525,570.81
13000,39386.0,53149.0,DebtCon,Other,4.0,0.0,0.0,110.4779566,1.0,16.0,38.521759005,0.08907339396431516,542.76
16500,94403.0,,DebtCon,Office,9.0,0.0,1.0,217.78684139,0.0,19.0,,0.5228250919517614,455.61
18600,72860.0,90347.0,DebtCon,Other,0.0,1.0,1.0,104.04046687,2.0,26.0,36.025925278,0.09380101022740066,540.71
22900,28217.0,52804.0,DebtCon,Other,14.0,0.0,0.0,109.36568457,1.0,25.0,30.587728164,0.052244950399367385,563.43
18000,23000.0,46000.0,DebtCon,Other,0.2,,,312.53333333,,25.0,,0.07491914588913018,549.56
3600,100693.0,114743.0,HomeImp,Office,6.0,0.0,0.0,88.470452135,0.0,14.0,29.393543382,0.06385100290387921,555.75
9300,58051.0,65334.0,DebtCon,Mgr,6.0,,,113.2818573,,23.0,41.860039809,0.0576983142273796,559.64
26400,79163.0,123792.0,DebtCon,Office,0.0,0.0,0.0,310.61455492,0.0,24.0,38.109978597,0.028290683976001568,586.46
22600,,45744.0,DebtCon,Other,,,,84.231761118,,12.0,28.453876923,0.08294698005988897,545.57
8500,,32907.0,HomeImp,Office,18.0,0.0,0.0,169.94538773,1.0,15.0,35.312710478,0.0957379971611018,539.89
7900,126919.0,166566.0,HomeImp,Mgr,10.0,,,,,,,0.6325643447975046,439.31
10000,99600.0,125500.0,DebtCon,Office,8.0,0.0,0.0,80.1,3.0,21.0,,0.6637071990798491,434.38
20400,83188.0,113181.0,DebtCon,Mgr,25.0,,0.0,321.56093961,1.0,42.0,37.69667921,0.04629896638440863,568.02
20200,137000.0,174685.0,DebtCon,ProfExe,6.0,,,183.66666667,5.0,43.0,,0.12339233594599347,529.62
10600,53200.0,71000.0,DebtCon,ProfExe,2.0,0.0,0.0,224.23333333,5.0,39.0,,0.6169230750071137,441.72
30100,24350.0,40356.0,DebtCon,Other,0.0,0.0,0.0,81.840250201,0.0,6.0,13.409995648,0.09285591375548073,541.11
11400,43530.0,56600.0,HomeImp,Other,21.0,0.0,0.0,114.98297904,0.0,23.0,39.481662901,0.0755956081593563,549.21
33000,227543.0,289091.0,DebtCon,ProfExe,3.0,0.0,0.0,203.94158615,0.0,29.0,17.425633477,0.04241844141415746,571.32
